,SummenwerteGeselligkeit,AmountCalls,AverageDuration,UniqueCaller,maxNoCall,MessagesAmount,AverageMessageLength,AmountAppsUsed,NotificationProTag,DurchschnittlicheNachrichtenLaengeGesamt
SummenwerteGeselligkeit,1.00,0.32,0.59,0.33,0.34,0.04,0.04,-0.25,-0.11,-0.22
AmountCalls,0.32,1.00,0.63,0.95,0.91,0.29,-0.26,-0.33,0.11,0.02
AverageDuration,0.59,0.63,1.00,0.63,0.62,0.29,0.03,-0.26,0.06,0.06
UniqueCaller,0.33,0.95,0.63,1.00,0.77,0.13,-0.31,-0.25,0.22,0.04
maxNoCall,0.34,0.91,0.62,0.77,1.00,0.44,-0.21,-0.44,-0.03,0.05
MessagesAmount,0.04,0.29,0.29,0.13,0.44,1.00,0.30,-0.08,-0.16,0.01
AverageMessageLength,0.04,-0.26,0.03,-0.31,-0.21,0.30,1.00,-0.05,0.13,-0.29
AmountAppsUsed,-0.25,-0.33,-0.26,-0.25,-0.44,-0.08,-0.05,1.00,0.38,0.18
NotificationProTag,-0.11,0.11,0.06,0.22,-0.03,-0.16,0.13,0.38,1.00,0.17
DurchschnittlicheNachrichtenLaengeGesamt,-0.22,0.02,0.06,0.04,0.05,0.01,-0.29,0.18,0.17,1.00