Proband,Herzlichkeit,Geselligkeit,Durchsetzungsvermögen,Aktivität,Erlebnishunger,positiv. Gefühle,Extraversion
,,,,,,,
1,1.25,0.75,1.75,1.88,1.75,1.50,1.50
2,2.75,2.63,2.00,2.38,2.25,2.25,2.38
3,1.63,0.50,2.25,1.88,1.25,1.75,1.54
4,2.75,2.75,2.88,2.38,2.50,2.00,2.54
5,2.75,2.38,1.75,1.38,1.63,2.75,2.08
6,1.63,0.25,0.13,1.25,0.00,0.50,0.56
7,2.25,2.13,2.38,2.25,2.00,2.50,2.23
8,2.75,1.88,2.50,2.00,2.13,2.75,2.33
9,2.88,1.75,1.38,2.00,2.50,2.25,2.13
10,1.63,0.63,2.25,2.00,1.00,2.00,1.54
12,1.75,0.13,1.63,1.13,0.63,0.88,0.98
13,1.50,0.25,1.38,0.88,1.38,2.00,1.21
14,1.00,0.63,1.00,1.88,0.88,0.88,1.06
15,3.00,1.75,0.63,1.63,1.00,1.63,1.56
17,2.50,1.75,2.63,2.25,2.25,2.63,2.33
18,2.75,2.13,3.00,2.75,1.38,3.50,2.56
19,2.63,2.38,2.50,1.88,2.63,2.00,2.35
20,3.25,2.25,3.00,1.63,2.13,3.38,2.60
21,2.25,2.00,1.50,1.25,1.88,1.88,1.81
22,2.63,2.63,2.00,1.88,1.75,1.38,2.02
23,1.88,0.75,2.00,1.38,1.38,2.38,1.58
24,3.38,2.25,1.88,2.25,1.88,3.38,2.52
25,3.13,1.63,0.50,1.38,1.88,1.88,1.71